,term,value
0,abandon,-2
1,abandoned,-2
2,abandons,-2
3,abducted,-2
4,abduction,-2
5,abductions,-2
6,abhor,-3
7,abhorred,-3
8,abhorrent,-3
9,abhors,-3
10,abilities,2
11,ability,2
12,aboard,1
13,absentee,-1
14,absentees,-1
15,absolve,2
16,absolved,2
17,absolves,2
18,absolving,2
19,absorbed,1
20,abuse,-3
21,abused,-3
22,abuses,-3
23,abusive,-3
24,accept,1
25,accepted,1
26,accepting,1
27,accepts,1
28,accident,-2
29,accidental,-2
30,accidentally,-2
31,accidents,-2
32,accomplish,2
33,accomplished,2
34,accomplishes,2
35,accusation,-2
36,accusations,-2
37,accuse,-2
38,accused,-2
39,accuses,-2
40,accusing,-2
41,ache,-2
42,achievable,1
43,aching,-2
44,acquit,2
45,acquits,2
46,acquitted,2
47,acquitting,2
48,acrimonious,-3
49,active,1
50,adequate,1
51,admire,3
52,admired,3
53,admires,3
54,admiring,3
55,admit,-1
56,admits,-1
57,admitted,-1
58,admonish,-2
59,admonished,-2
60,adopt,1
61,adopts,1
62,adorable,3
63,adore,3
64,adored,3
65,adores,3
66,advanced,1
67,advantage,2
68,advantages,2
69,adventure,2
70,adventures,2
71,adventurous,2
72,affected,-1
73,affection,3
74,affectionate,3
75,afflicted,-1
76,affronted,-1
77,afraid,-2
78,aggravate,-2
79,aggravated,-2
80,aggravates,-2
81,aggravating,-2
82,aggression,-2
83,aggressions,-2
84,aggressive,-2
85,aghast,-2
86,agog,2
87,agonise,-3
88,agonised,-3
89,agonises,-3
90,agonising,-3
91,agonize,-3
92,agonized,-3
93,agonizes,-3
94,agonizing,-3
95,agree,1
96,agreeable,2
97,agreed,1
98,agreement,1
99,agrees,1
100,alarm,-2
101,alarmed,-2
102,alarmist,-2
103,alarmists,-2
104,alas,-1
105,alert,-1
106,alienation,-2
107,alive,1
108,allergic,-2
109,allow,1
110,alone,-2
111,amaze,2
112,amazed,2
113,amazes,2
114,amazing,4
115,ambitious,2
116,ambivalent,-1
117,amuse,3
118,amused,3
119,amusement,3
120,amusements,3
121,anger,-3
122,angers,-3
123,angry,-3
124,anguish,-3
125,anguished,-3
126,animosity,-2
127,annoy,-2
128,annoyance,-2
129,annoyed,-2
130,annoying,-2
131,annoys,-2
132,antagonistic,-2
133,anti,-1
134,anticipation,1
135,anxiety,-2
136,anxious,-2
137,apathetic,-3
138,apathy,-3
139,apeshit,-3
140,apocalyptic,-2
141,apologise,-1
142,apologised,-1
143,apologises,-1
144,apologising,-1
145,apologize,-1
146,apologized,-1
147,apologizes,-1
148,apologizing,-1
149,apology,-1
150,appalled,-2
151,appalling,-2
152,appease,2
153,appeased,2
154,appeases,2
155,appeasing,2
156,applaud,2
157,applauded,2
158,applauding,2
159,applauds,2
160,applause,2
161,appreciate,2
162,appreciated,2
163,appreciates,2
164,appreciating,2
165,appreciation,2
166,apprehensive,-2
167,approval,2
168,approved,2
169,approves,2
170,ardent,1
171,arrest,-2
172,arrested,-3
173,arrests,-2
174,arrogant,-2
175,ashame,-2
176,ashamed,-2
177,ass,-4
178,assassination,-3
179,assassinations,-3
180,asset,2
181,assets,2
182,assfucking,-4
183,asshole,-4
184,astonished,2
185,astound,3
186,astounded,3
187,astounding,3
188,astoundingly,3
189,astounds,3
190,attack,-1
191,attacked,-1
192,attacking,-1
193,attacks,-1
194,attract,1
195,attracted,1
196,attracting,2
197,attraction,2
198,attractions,2
199,attracts,1
200,audacious,3
201,authority,1
202,avert,-1
203,averted,-1
204,averts,-1
205,avid,2
206,avoid,-1
207,avoided,-1
208,avoids,-1
209,await,-1
210,awaited,-1
211,awaits,-1
212,award,3
213,awarded,3
214,awards,3
215,awesome,4
216,awful,-3
217,awkward,-2
218,axe,-1
219,axed,-1
220,backed,1
221,backing,2
222,backs,1
223,bad,-3
224,badass,-3
225,badly,-3
226,bailout,-2
227,bamboozle,-2
228,bamboozled,-2
229,bamboozles,-2
230,ban,-2
231,banish,-1
232,bankrupt,-3
233,bankster,-3
234,banned,-2
235,bargain,2
236,barrier,-2
237,bastard,-5
238,bastards,-5
239,battle,-1
240,battles,-1
241,beaten,-2
242,beatific,3
243,beating,-1
244,beauties,3
245,beautiful,3
246,beautifully,3
247,beautify,3
248,belittle,-2
249,belittled,-2
250,beloved,3
251,benefit,2
252,benefits,2
253,benefitted,2
254,benefitting,2
255,bereave,-2
256,bereaved,-2
257,bereaves,-2
258,bereaving,-2
259,best,3
260,betray,-3
261,betrayal,-3
262,betrayed,-3
263,betraying,-3
264,betrays,-3
265,better,2
266,bias,-1
267,biased,-2
268,big,1
269,bitch,-5
270,bitches,-5
271,bitter,-2
272,bitterly,-2
273,bizarre,-2
274,blah,-2
275,blame,-2
276,blamed,-2
277,blames,-2
278,blaming,-2
279,bless,2
280,blesses,2
281,blessing,3
282,blind,-1
283,bliss,3
284,blissful,3
285,blithe,2
286,block,-1
287,blockbuster,3
288,blocked,-1
289,blocking,-1
290,blocks,-1
291,bloody,-3
292,blurry,-2
293,boastful,-2
294,bold,2
295,boldly,2
296,bomb,-1
297,boost,1
298,boosted,1
299,boosting,1
300,boosts,1
301,bore,-2
302,bored,-2
303,boring,-3
304,bother,-2
305,bothered,-2
306,bothers,-2
307,bothersome,-2
308,boycott,-2
309,boycotted,-2
310,boycotting,-2
311,boycotts,-2
312,brainwashing,-3
313,brave,2
314,breakthrough,3
315,breathtaking,5
316,bribe,-3
317,bright,1
318,brightest,2
319,brightness,1
320,brilliant,4
321,brisk,2
322,broke,-1
323,broken,-1
324,brooding,-2
325,bullied,-2
326,bullshit,-4
327,bully,-2
328,bullying,-2
329,bummer,-2
330,buoyant,2
331,burden,-2
332,burdened,-2
333,burdening,-2
334,burdens,-2
335,calm,2
336,calmed,2
337,calming,2
338,calms,2
339,can't stand,-3
340,cancel,-1
341,cancelled,-1
342,cancelling,-1
343,cancels,-1
344,cancer,-1
345,capable,1
346,captivated,3
347,care,2
348,carefree,1
349,careful,2
350,carefully,2
351,careless,-2
352,cares,2
353,cashing in,-2
354,casualty,-2
355,catastrophe,-3
356,catastrophic,-4
357,cautious,-1
358,celebrate,3
359,celebrated,3
360,celebrates,3
361,celebrating,3
362,censor,-2
363,censored,-2
364,censors,-2
365,certain,1
366,chagrin,-2
367,chagrined,-2
368,challenge,-1
369,chance,2
370,chances,2
371,chaos,-2
372,chaotic,-2
373,charged,-3
374,charges,-2
375,charm,3
376,charming,3
377,charmless,-3
378,chastise,-3
379,chastised,-3
380,chastises,-3
381,chastising,-3
382,cheat,-3
383,cheated,-3
384,cheater,-3
385,cheaters,-3
386,cheats,-3
387,cheer,2
388,cheered,2
389,cheerful,2
390,cheering,2
391,cheerless,-2
392,cheers,2
393,cheery,3
394,cherish,2
395,cherished,2
396,cherishes,2
397,cherishing,2
398,chic,2
399,childish,-2
400,chilling,-1
401,choke,-2
402,choked,-2
403,chokes,-2
404,choking,-2
405,clarifies,2
406,clarity,2
407,clash,-2
408,classy,3
409,clean,2
410,cleaner,2
411,clear,1
412,cleared,1
413,clearly,1
414,clears,1
415,clever,2
416,clouded,-1
417,clueless,-2
418,cock,-5
419,cocksucker,-5
420,cocksuckers,-5
421,cocky,-2
422,coerced,-2
423,collapse,-2
424,collapsed,-2
425,collapses,-2
426,collapsing,-2
